Employee ID	Red Eggs	Blue Eggs	Yellow Eggs	Green Eggs	Pink Eggs
17062296	332	427	346	152	267
65573419	365	196	343	454	241
24544651	394	61	304	178	60
14610366	226	186	218	240	175
98619651	434	439	422	214	189
20747454	225	294	368	273	341
22444434	322	458	349	333	119
14386016	150	253	99	144	171
22238914	110	285	238	81	192
51798334	455	195	443	459	307
53250521	23	273	452	187	307
91804946	224	454	423	337	313
65733785	14	341	203	78	273
51289076	181	320	194	388	167
17562523	61	34	330	301	333
20577427	235	417	11	182	23
21583001	24	63	281	366	465
94202052	91	108	53	92	216
58107076	335	271	267	150	111
56133625	246	434	155	331	388
54993916	376	78	383	430	59
60018541	352	86	82	155	381
65884071	462	81	304	244	209
21010448	75	100	433	367	418
53565500	155	352	107	153	220
76072751	139	136	337	426	235
89541046	374	215	259	85	429
39419210	455	388	370	100	33
94959199	281	296	170	69	444
17324226	141	76	307	13	53
54752571	121	443	400	288	246
21711118	460	217	371	370	71
39489425	274	179	310	361	78
89879506	24	193	351	450	445
58123856	137	319	263	26	200
30253635	312	196	224	450	339
23804715	13	252	237	300	55
41670636	91	204	221	59	422
65794851	421	413	342	467	181
66502392	199	218	33	234	16
66173524	114	167	233	58	71
49348014	384	139	400	459	144
32467499	341	226	200	402	370
87222715	275	384	62	430	215
37774502	199	341	327	154	334
22952437	332	151	34	305	37
93176060	204	307	455	370	16
10705838	115	433	231	160	111
65421821	420	76	158	470	222
72188334	25	464	387	317	146
58326452	405	465	411	58	442
11911208	163	313	341	13	273
48808982	83	54	150	79	229
73295438	90	73	258	344	215
93619150	327	90	229	110	378
21804067	224	399	254	134	255
43600116	374	92	140	456	310
58011912	350	339	454	93	185
78746648	132	335	126	419	254
18970917	252	67	22	470	431
25270739	225	52	429	432	336
76265795	304	380	24	344	459
10489893	242	49	198	22	300
36557626	208	51	393	295	351
35140384	184	265	396	203	375
90560525	299	245	40	199	286
43138817	467	33	90	367	69
35225880	50	392	19	204	173
37587884	404	440	282	424	426
61416803	173	184	218	101	238
16647196	462	289	68	370	117
62839032	114	318	397	33	354
66882232	116	430	78	399	465
76041628	301	324	87	291	361
54500383	52	261	432	110	147
97506867	127	325	319	27	382
46979205	221	162	368	53	332
31845884	435	116	391	204	155
46433028	177	405	169	366	447
88743981	187	303	143	84	293
81282989	33	202	197	390	80
83508113	18	208	169	315	59
60549899	423	76	338	189	299
27414056	118	180	124	237	14
31006659	142	238	122	322	69
91053135	202	79	169	110	197
85128979	90	217	316	109	338
67153737	91	403	267	412	467
67578136	448	67	452	406	370
36114866	451	457	313	133	265
11591268	12	220	382	299	455
80515308	52	191	14	58	468
55895466	40	138	22	153	76
77398794	282	227	302	219	272
50325631	189	149	203	198	442
35235589	460	196	331	397	108
77469841	204	189	355	105	288
81787703	73	442	340	222	437
74522335	95	37	96	212	112
64362223	209	213	137	409	61
67178772	332	163	349	402	313
22740430	24	168	174	425	30
11067871	454	64	413	316	416
56469927	118	451	283	10	432
51843552	416	250	46	52	134
51006639	260	265	339	441	144
