Employee ID	Red Eggs	Blue Eggs	Yellow Eggs	Green Eggs	Pink Eggs
17062296	32	416	108	67	249
65573419	340	284	178	65	102
24544651	257	204	130	192	374
14610366	84	59	126	459	40
98619651	238	417	300	364	158
20747454	354	278	297	337	71
22444434	241	228	261	368	222
14386016	85	201	59	167	175
22238914	459	256	248	201	31
51798334	260	385	361	370	334
53250521	203	466	383	431	438
91804946	342	291	366	160	256
65733785	347	356	263	85	450
51289076	408	409	442	303	200
17562523	327	356	35	207	435
20577427	180	174	150	146	112
21583001	468	460	470	124	228
94202052	93	138	152	58	403
58107076	247	468	436	437	457
56133625	260	286	470	257	297
54993916	99	357	444	125	279
60018541	400	115	345	409	94
65884071	154	39	39	103	431
21010448	317	97	104	219	134
53565500	384	430	433	466	447
76072751	204	338	252	445	16
89541046	41	94	66	418	16
39419210	236	163	374	32	69
94959199	197	109	38	406	469
17324226	344	182	450	276	400
54752571	219	294	32	141	285
21711118	245	226	312	170	98
39489425	126	101	373	76	373
89879506	356	414	141	187	449
58123856	248	229	289	279	309
30253635	366	432	379	353	301
23804715	180	27	79	78	73
41670636	298	22	305	411	85
65794851	69	93	367	162	19
66502392	125	191	117	361	86
66173524	76	449	361	133	426
49348014	113	386	230	438	68
32467499	150	115	370	323	268
87222715	369	12	176	92	49
37774502	447	224	126	109	304
22952437	318	442	62	286	65
93176060	197	245	453	468	390
10705838	220	171	291	451	180
65421821	130	250	208	19	67
72188334	158	158	65	229	418
58326452	109	357	363	213	268
11911208	135	93	312	453	466
48808982	176	427	57	197	289
73295438	291	254	311	326	457
93619150	182	343	271	318	201
21804067	215	320	131	321	141
43600116	366	465	228	84	344
58011912	222	202	218	230	154
78746648	103	411	223	160	262
18970917	238	174	427	95	375
25270739	453	319	402	172	361
76265795	242	205	437	446	429
10489893	226	366	294	292	179
36557626	459	278	266	285	369
35140384	391	329	232	210	283
90560525	170	312	235	37	68
43138817	117	442	375	83	358
35225880	344	127	41	317	435
37587884	344	212	180	68	255
