Employee ID	Red Eggs	Blue Eggs	Yellow Eggs	Green Eggs	Pink Eggs
17062296	18	150	233	357	117
65573419	425	459	163	372	23
24544651	193	305	190	192	366
14610366	101	284	79	368	69
98619651	256	390	293	116	197
20747454	232	167	325	158	371
22444434	213	36	242	176	370
14386016	20	269	242	468	29
22238914	311	38	273	215	276
51798334	27	431	453	36	166
53250521	54	405	112	85	137
91804946	125	287	174	153	454
65733785	52	141	128	162	322
51289076	125	19	60	76	65
17562523	234	17	295	356	133
20577427	139	206	405	428	426
21583001	464	145	63	346	457
94202052	420	39	24	64	232
58107076	322	360	208	247	390
56133625	54	36	191	446	425
54993916	89	22	67	262	374
60018541	28	183	402	299	440
65884071	255	332	371	290	331
21010448	127	400	90	446	96
53565500	282	405	178	254	450
76072751	380	346	130	345	19
89541046	27	225	171	326	191
39419210	18	352	246	247	122
94959199	146	436	390	37	30
17324226	417	298	92	339	49
54752571	275	230	46	75	405
21711118	440	54	450	107	142
39489425	147	254	284	434	65
89879506	388	114	50	43	234
58123856	112	167	276	388	219
30253635	66	223	91	390	49
23804715	219	217	151	392	462
41670636	224	412	384	56	33
65794851	123	391	137	195	24
66502392	113	397	87	430	259
66173524	427	307	433	456	299
49348014	131	234	185	25	456
32467499	262	266	337	70	38
87222715	275	403	370	193	213
37774502	201	155	59	155	380
22952437	316	53	322	13	134
93176060	189	134	407	363	15
10705838	11	444	198	315	367
65421821	453	372	356	442	55
72188334	36	308	370	44	80
58326452	452	468	386	20	31
11911208	224	442	202	170	216
48808982	60	273	435	77	349
73295438	400	450	396	171	131
93619150	315	462	316	170	310
21804067	215	362	416	328	459
43600116	76	146	280	17	464
58011912	182	182	42	238	101
78746648	47	101	225	460	49
18970917	219	229	282	78	121
25270739	200	465	64	136	98
76265795	11	401	230	45	319
10489893	138	248	36	163	235
36557626	345	311	118	87	97
35140384	180	132	67	280	97
90560525	99	332	464	282	92
43138817	413	185	179	27	342
35225880	304	29	367	379	170
37587884	413	69	195	296	21
61416803	234	282	25	323	131
16647196	165	398	371	347	60
62839032	204	198	288	215	24
66882232	309	284	201	22	202
76041628	176	365	128	400	89
54500383	243	426	95	139	28
97506867	351	305	35	276	318
46979205	362	176	282	208	156
31845884	310	71	197	409	64
46433028	454	340	24	390	130
88743981	75	42	317	253	138
81282989	161	150	458	93	373
83508113	92	179	411	101	217
60549899	14	147	435	23	348
27414056	325	38	162	122	205
31006659	189	412	308	181	25
91053135	141	189	99	80	228
85128979	91	457	390	157	220
67153737	163	92	93	31	156
67578136	232	332	281	114	293
36114866	346	146	63	229	185
11591268	92	83	145	286	301
80515308	319	61	170	140	103
55895466	145	110	394	47	57
77398794	33	355	79	258	404
50325631	424	104	56	159	189
35235589	94	404	280	465	196
77469841	286	26	90	44	446
81787703	187	122	246	375	312
74522335	214	266	176	466	188
64362223	101	35	304	244	278
67178772	282	69	219	305	165
22740430	231	78	35	51	175
11067871	464	239	267	413	106
56469927	17	306	231	292	244
51843552	431	307	26	80	97
51006639	229	34	238	154	73
56952767	400	108	136	327	25
38614552	13	413	421	107	161
43296283	201	34	110	59	330
69693192	405	43	272	363	249
91693584	376	360	413	386	259
78839641	251	308	155	190	51
38502778	36	354	77	362	359
65041054	48	412	148	440	210
34919407	212	317	351	298	48
61374468	152	396	463	413	73
17960554	162	377	137	200	73
88372938	391	293	298	40	449
74949092	20	376	16	62	10
29299686	43	469	467	34	378
83886996	63	352	257	308	275
29006022	41	198	386	29	340
60965387	73	31	104	211	397
33181418	174	237	318	42	447
49068654	104	440	307	241	302
26465665	274	65	253	223	365
85259830	427	402	265	149	105
86579916	72	365	465	139	67
11948094	466	22	216	116	307
38053324	143	44	147	216	217
61338203	420	445	204	19	21
46674743	339	91	274	429	98
10369643	261	157	75	374	236
77874719	177	130	438	255	132
57461160	91	137	275	221	252
29333090	287	33	262	341	99
32499759	264	230	343	374	452
98569433	234	290	450	331	115
89115348	244	425	262	404	43
99428370	382	326	271	420	127
45730883	222	232	245	388	372
88825697	10	233	369	98	92
56773587	18	408	348	351	360
96449399	166	93	16	225	434
12737805	248	319	14	449	128
20724442	21	325	38	366	141
72324950	86	380	28	330	379
92533947	351	432	268	182	83
51377557	204	443	190	110	296
81993798	86	268	469	22	415
90430718	360	332	221	247	117
95862955	305	114	181	137	203
58732750	320	229	81	223	294
48135565	410	189	449	190	463
64882517	340	297	72	369	90
56097825	464	287	133	336	216
75602155	359	142	143	419	389
32030798	238	49	153	22	172
99531954	391	192	256	271	113
33783469	343	169	422	442	262
76107642	266	444	461	191	221
93580337	453	48	280	387	375
87218737	287	169	213	123	465
44577045	149	83	252	275	223
93879354	301	369	365	298	186
47011950	139	189	102	110	155
66147207	161	75	48	328	310
10011720	242	207	63	76	444
59248090	154	451	428	436	308
51039976	465	416	11	267	207
13013117	327	62	390	231	194
27182904	10	90	342	43	36
42928202	68	422	21	117	282
21594237	36	281	163	309	462
85914883	119	306	287	28	470
11339357	391	205	391	105	130
85367019	55	56	99	133	335
74105717	450	286	152	271	442
21813426	227	243	361	376	182
88414418	38	244	136	97	315
32077968	189	160	144	218	66
79481571	251	434	241	455	345
12964358	278	249	146	73	265
39536964	178	453	414	111	278
29044587	457	377	201	151	320
89497418	198	407	10	123	390
69528996	89	44	461	216	325
21009515	190	197	440	460	55
24455903	301	212	143	167	222
40939759	134	409	370	303	427
50909759	190	130	402	103	351
31843937	114	97	170	411	123
15873074	175	96	105	445	428
40486253	309	12	169	261	220
54455564	42	103	111	326	283
96293958	97	460	445	463	17
47653145	465	289	252	176	177
97130999	462	145	235	264	453
63295913	463	279	311	159	12
34459064	100	197	218	163	208
38074461	318	355	432	62	116
21485256	378	98	15	362	248
56572261	366	211	400	329	426
57689403	432	244	429	234	153
14828415	204	435	416	454	55
73365374	261	146	161	452	273
44326638	67	118	32	306	99
86398865	166	97	97	364	69
14639254	315	13	46	338	298
85217725	279	327	431	294	265
47502943	294	34	418	63	17
67938524	311	284	378	121	428
30584092	152	137	419	267	198
17500941	48	120	239	464	332
94056293	49	147	17	261	63
18079904	275	328	287	236	102
31913988	61	244	258	43	234
61804659	385	433	341	236	121
44026913	16	241	443	401	390
32100890	262	181	396	320	74
65911793	313	80	113	135	170
40304838	396	360	28	375	22
80943662	175	391	263	95	106
13512988	70	372	265	376	248
